exec_model,kv_dtype_bytes,top_k,kv_rank_scale,hidden_scale,cache_len,ai_hbm,ai_total,t_est_ms,mfu_est,regime
naive,1,4,0.5,0.75,16384,30.243177951177618,30.213740853560555,4.200452496264648,0.07335384242832368,hbm-bound
naive,1,4,0.5,1.0,2048,18.038091338865275,18.02121550420062,5.82698795780382,0.04375080264100723,hbm-bound
naive,1,4,0.5,1.0,4096,20.570027345214605,20.551149333343055,5.940256011137153,0.04989193090299651,hbm-bound
naive,1,4,0.5,1.0,8192,25.35486858425466,25.332453351891143,6.166792117803819,0.06149740737969801,hbm-bound
naive,1,4,0.5,1.0,16384,33.94210859727231,33.91415374523373,6.619864331137153,0.08232547815407129,hbm-bound
naive,1,4,0.5,1.25,2048,18.317375918279975,18.303359732748604,8.907099280735137,0.04442819828587361,hbm-bound
naive,1,4,0.5,1.25,4096,21.046552559226292,21.030650118337284,9.020367334068471,0.05104772727856806,hbm-bound
naive,1,4,0.5,1.25,8192,26.304322893127278,26.284934318222525,9.246903440735137,0.06380027786104646,hbm-bound
naive,1,4,0.5,1.25,16384,36.083114399694075,36.05775941178823,9.69997565406847,0.08751841794771681,hbm-bound
naive,1,4,1.0,0.75,2048,17.91412030017425,17.895406047354868,3.9134125229313153,0.043450114927153304,hbm-bound
naive,1,4,1.0,0.75,4096,20.28997815567843,20.26967953970032,4.086646016264648,0.049212680721200844,hbm-bound
naive,1,4,1.0,0.75,8192,24.484643113818166,24.462060677048925,4.433113002931314,0.0593867038637328,hbm-bound
naive,1,4,1.0,0.75,16384,31.17288101726326,31.148013390721502,5.126046976264648,0.07560880691402913,hbm-bound
naive,1,4,1.0,1.0,2048,17.85426368071878,17.83772990173248,5.88698267780382,0.04330493464752407,hbm-bound
naive,1,4,1.0,1.0,4096,20.162849828463862,20.144711459264986,6.060216171137153,0.0489043351069361,hbm-bound
naive,1,4,1.0,1.0,8192,24.405484067504936,24.38471534679992,6.40668315780382,0.05919470617686897,hbm-bound
naive,1,4,1.0,1.0,16384,31.6484889081163,31.62418312100159,7.099617131137153,0.07676237835217699,hbm-bound
naive,1,4,1.0,1.25,2048,18.19482274338721,18.180993411404035,8.967094000735136,0.044130949554451036,hbm-bound
naive,1,4,1.0,1.25,4096,20.77033184239841,20.754843924757182,9.14032749406847,0.05037776293254793,hbm-bound
naive,1,4,1.0,1.25,8192,25.639169728046895,25.620748963805905,9.486794480735137,0.062186970537961135,hbm-bound
naive,1,4,1.0,1.25,16384,34.38258031923391,34.35955812614455,10.179728454068469,0.08339382795973864,hbm-bound
naive,1,4,1.5,0.75,2048,18.659144416612545,18.64346166777326,4.865090602931315,0.04525714663958576,hbm-bound
naive,1,4,1.5,0.75,4096,21.575344220366013,21.558039231356272,5.098289536264649,0.052330294218169204,hbm-bound
naive,1,4,1.5,0.75,8192,26.67449004265876,26.65488703817579,5.564687402931315,0.06469810621766652,hbm-bound
naive,1,4,1.5,0.75,16384,34.67664141249768,34.654813863327476,6.497483136264648,0.08410706355734657,hbm-bound
naive,1,4,1.5,1.0,2048,18.59219830950683,18.577992171816664,7.135888544470487,0.04509477103872298,hbm-bound
naive,1,4,1.5,1.0,4096,21.48123316084042,21.46533857071494,7.36908747780382,0.052102030910578086,hbm-bound
naive,1,4,1.5,1.0,8192,26.743403860899484,26.724792687964833,7.835485344470486,0.06486525443775519,hbm-bound
naive,1,4,1.5,1.0,16384,35.58832930701301,35.56619590076407,8.76828107780382,0.08631833283156264,hbm-bound
naive,1,4,1.5,1.25,2048,18.462572827046117,18.449692619683393,9.770158187401803,0.04478036865579654,hbm-bound
naive,1,4,1.5,1.25,4096,21.234251032223128,21.219782300439594,10.003357120735137,0.05150298380731229,hbm-bound
naive,1,4,1.5,1.25,8192,26.407196252381237,26.39000378340537,10.469754987401805,0.06404979384104593,hbm-bound
naive,1,4,1.5,1.25,16384,35.48355463404432,35.46234170141187,11.402550720735137,0.08606420527711608,hbm-bound
naive,1,8,0.5,0.75,2048,23.104913884755955,23.04968525583669,3.4159955719234945,0.05604021558707861,hbm-bound
naive,1,8,0.5,0.75,4096,25.086180767682713,25.028136281328337,3.5292636252568275,0.060845713837734725,hbm-bound
naive,1,8,0.5,0.75,8192,28.69020621203744,28.62781802253679,3.7557997319234944,0.06958716008983312,hbm-bound
naive,1,8,0.5,0.75,16384,34.73437009761038,34.66695354709627,4.208871945256828,0.08424708260158152,hbm-bound
naive,1,8,0.5,1.0,2048,23.83626882525364,23.79179655923987,5.838392347123249,0.057814093158775885,hbm-bound
naive,1,8,0.5,1.0,4096,26.25300614508852,26.204955349868637,5.951660400456583,0.0636758107612051,hbm-bound
naive,1,8,0.5,1.0,8192,30.82063705707487,30.766290914648692,6.178196507123249,0.07475445066900423,hbm-bound
naive,1,8,0.5,1.0,16384,39.01966779124146,38.95555744917562,6.631268720456583,0.09464093249012583,hbm-bound
naive,1,8,0.5,1.25,2048,24.25242729146949,24.215400566564053,8.921577839046744,0.058823471955054864,hbm-bound
naive,1,8,0.5,1.25,4096,26.90282381075226,26.862264815494125,9.034845892380078,0.0652519223302733,hbm-bound
naive,1,8,0.5,1.25,8192,32.009128432147556,31.962049767413497,9.261381999046744,0.0776370977636727,hbm-bound
naive,1,8,0.5,1.25,16384,41.50727919290995,41.44907399933883,9.714454212380078,0.1006745528680989,hbm-bound
naive,1,8,1.0,0.75,2048,22.7604922594938,22.71308948185918,3.9218319719234946,0.055204832160470056,hbm-bound
naive,1,8,1.0,0.75,4096,24.92644935374634,24.876727311521808,4.095065465256828,0.06045829049923315,hbm-bound
naive,1,8,1.0,0.75,8192,28.751489415482414,28.698602957979393,4.441532451923494,0.06973580050243335,hbm-bound
naive,1,8,1.0,0.75,16384,34.8529177481278,34.797446413152706,5.134466425256828,0.08453461606418063,hbm-bound
naive,1,8,1.0,1.0,2048,23.593821142905576,23.550248137426543,5.89838706712325,0.05722604420714844,hbm-bound
naive,1,8,1.0,1.0,4096,25.734311871247243,25.68813937826574,6.071620560456583,0.062417734705400074,hbm-bound
naive,1,8,1.0,1.0,8192,29.66864362869008,29.61828087033203,6.41808754712325,0.0719603281544782,hbm-bound
naive,1,8,1.0,1.0,16384,36.38716347043947,36.33140568628603,7.111021520456583,0.08825587905917606,hbm-bound
naive,1,8,1.0,1.25,2048,24.090426976368047,24.05389288581387,8.981572559046743,0.05843054547072594,hbm-bound
