exec_model,kv_dtype_bytes,top_k,kv_rank_scale,hidden_scale,cache_len,ai_hbm,ai_total,t_est_ms,mfu_est,regime
naive,1,4,0.5,1.25,4096,6.182482003577404,6.182482003577404,30.707349425384077,0.014995408598873947,hbm-bound
naive,1,4,0.5,1.25,8192,7.863012669864937,7.863012669864937,30.93388553205074,0.019071480957732038,hbm-bound
naive,1,4,0.5,1.25,16384,11.151298384484987,11.151298384484987,31.386957745384073,0.02704711078601715,hbm-bound
naive,1,4,1.0,0.75,2048,5.981313978894045,5.981313978894045,11.720726075804935,0.014507482111516633,hbm-bound
naive,1,4,1.0,0.75,4096,6.971434358592452,6.971434358592452,11.893959569138268,0.01690898682225557,hbm-bound
naive,1,4,1.0,0.75,8192,8.867598630255591,8.867598630255591,12.240426555804934,0.021508071462974652,hbm-bound
naive,1,4,1.0,0.75,16384,12.355153335437626,12.355153335437626,12.933360529138268,0.02996702173324942,hbm-bound
naive,1,4,1.0,1.0,2048,5.317427816348952,5.317427816348952,19.766651216245812,0.012897247861786242,hbm-bound
naive,1,4,1.0,1.0,4096,6.127980696295894,6.127980696295894,19.939884709579147,0.014863217454381147,hbm-bound
naive,1,4,1.0,1.0,8192,7.707556591472726,7.707556591472726,20.286351696245813,0.01869442730625017,hbm-bound
naive,1,4,1.0,1.0,16384,10.71019087901929,10.71019087901929,20.979285669579145,0.025977218908182206,hbm-bound
naive,1,4,1.0,1.25,2048,5.322446691158836,5.322446691158836,30.654076092050744,0.01290942097906135,hbm-bound
naive,1,4,1.0,1.25,4096,6.1584237402932835,6.1584237402932835,30.827309585384075,0.014937056065390482,hbm-bound
naive,1,4,1.0,1.25,8192,7.802504560347073,7.802504560347073,31.173776572050745,0.01892472051018997,hbm-bound
naive,1,4,1.0,1.25,16384,10.983415771813906,10.983415771813906,31.866710545384077,0.026639916980650203,hbm-bound
naive,1,4,1.5,0.75,2048,7.163473248161558,7.163473248161558,12.672404155804935,0.017374770889932025,hbm-bound
naive,1,4,1.5,0.75,4096,8.52322444137283,8.52322444137283,12.905603089138268,0.020672803091758257,hbm-bound
naive,1,4,1.5,0.75,8192,11.100447809612415,11.100447809612415,13.372000955804934,0.02692377437399676,hbm-bound
naive,1,4,1.5,0.75,16384,15.750723180223885,15.750723180223885,14.304796689138268,0.03820286572262489,hbm-bound
naive,1,4,1.5,1.0,2048,6.313030599660257,6.313030599660257,21.01555708291248,0.015312049963804565,hbm-bound
naive,1,4,1.5,1.0,4096,7.449710758234822,7.449710758234822,21.248756016245814,0.018069030641499315,hbm-bound
naive,1,4,1.5,1.0,8192,9.649830258777259,9.649830258777259,21.71515388291248,0.023405348783289967,hbm-bound
naive,1,4,1.5,1.0,16384,13.778221858525106,13.778221858525106,22.64794961624581,0.03341862805503815,hbm-bound
naive,1,4,1.5,1.25,2048,5.734222992568266,5.734222992568266,31.45714027871741,0.013908170977426818,hbm-bound
naive,1,4,1.5,1.25,4096,6.702793392186002,6.702793392186002,31.69033921205074,0.016257406913841744,hbm-bound
naive,1,4,1.5,1.25,8192,8.597790067750683,8.597790067750683,32.15673707871741,0.020853659588278565,hbm-bound
naive,1,4,1.5,1.25,16384,12.227523240198662,12.227523240198662,33.08953281205074,0.02965745909699524,hbm-bound
naive,1,8,0.5,0.75,2048,4.117362937701114,4.117362937701114,19.16913439845253,0.009986529611402398,hbm-bound
naive,1,8,0.5,0.75,4096,4.591530827207692,4.591530827207692,19.282402451785867,0.011136608373217245,hbm-bound
naive,1,8,0.5,0.75,8192,5.523348616694152,5.523348616694152,19.508938558452535,0.013396702051607846,hbm-bound
naive,1,8,0.5,0.75,16384,7.323536567099104,7.323536567099104,19.962010771785867,0.017762999253196413,hbm-bound
naive,1,8,0.5,1.0,2048,4.111972658130419,4.111972658130419,33.843972483174866,0.009973455663984847,hbm-bound
naive,1,8,0.5,1.0,4096,4.601344944347873,4.601344944347873,33.95724053650821,0.011160412194476901,hbm-bound
naive,1,8,0.5,1.0,8192,5.570360296961271,5.570360296961271,34.18377664317487,0.013510727349880796,hbm-bound
naive,1,8,0.5,1.0,16384,7.470364973979092,7.470364973979092,34.6368488565082,0.018119126768620337,hbm-bound
naive,1,8,0.5,1.25,2048,4.107226629368242,4.107226629368242,52.6802968016274,0.00996194432590579,hbm-bound
naive,1,8,0.5,1.25,4096,4.604024522075074,4.604024522075074,52.793564854960735,0.011166911422920846,hbm-bound
naive,1,8,0.5,1.25,8192,5.5912523833407555,5.5912523833407555,53.020100961627406,0.013561400424474799,hbm-bound
naive,1,8,0.5,1.25,16384,7.540614092241891,7.540614092241891,53.473173174960735,0.018289513715392156,hbm-bound
naive,1,8,1.0,0.75,2048,4.536872107938308,4.536872107938308,19.674970798452534,0.01100403543107826,hbm-bound
naive,1,8,1.0,0.75,4096,5.142804881459412,5.142804881459412,19.84820429178587,0.012473705624560471,hbm-bound
naive,1,8,1.0,0.75,8192,6.32348363185565,6.32348363185565,20.19467127845253,0.015337403452706982,hbm-bound
naive,1,8,1.0,0.75,16384,8.567336171038558,8.567336171038558,20.887605251785867,0.020779794654363356,hbm-bound
naive,1,8,1.0,1.0,2048,4.104696322390892,4.104696322390892,33.90396720317487,0.009955807148800549,hbm-bound
naive,1,8,1.0,1.0,4096,4.5851470740869,4.5851470740869,34.07720069650821,0.011121124788083435,hbm-bound
naive,1,8,1.0,1.0,8192,5.53154166969844,5.53154166969844,34.42366768317487,0.013416574034639975,hbm-bound
naive,1,8,1.0,1.0,16384,7.368307020070441,7.368307020070441,35.11660165650821,0.017871588527710012,hbm-bound
naive,1,8,1.0,1.25,2048,4.102554453608567,4.102554453608567,52.740291521627405,0.009950612115877274,hbm-bound
naive,1,8,1.0,1.25,4096,4.593586746134879,4.593586746134879,52.91352501496074,0.011141594937568175,hbm-bound
naive,1,8,1.0,1.25,8192,5.566068538981539,5.566068538981539,53.259992001627396,0.01350031783077887,hbm-bound
naive,1,8,1.0,1.25,16384,7.47356247902352,7.47356247902352,53.952925974960735,0.018126882212891812,hbm-bound
naive,1,8,1.5,0.75,2048,5.329799926678525,5.329799926678525,20.626648878452535,0.0129272560121561,hbm-bound
naive,1,8,1.5,0.75,4096,6.191552132371129,6.191552132371129,20.859847811785865,0.015017407900647508,hbm-bound
naive,1,8,1.5,0.75,8192,7.858517845423264,7.858517845423264,21.326245678452533,0.019060578907545058,hbm-bound
naive,1,8,1.5,0.75,16384,10.982879801398692,10.982879801398692,22.259041411785866,0.026638617001876565,hbm-bound
naive,1,8,1.5,1.0,2048,4.742986528642364,4.742986528642364,35.15287306984153,0.011503959240769756,hbm-bound
naive,1,8,1.5,1.0,4096,5.43589112564048,5.43589112564048,35.38607200317487,0.013184576757490808,hbm-bound
